xmin	xmax	clickSelects	PANEL
0.5	1.5	1	1
1.5	2.5	2	1
2.5	3.5	3	1
3.5	4.5	4	1
4.5	5.5	5	1
5.5	6.5	6	1
6.5	7.5	7	1
7.5	8.5	8	1
8.5	9.5	9	1
9.5	10.5	10	1
10.5	11.5	11	1
11.5	12.5	12	1
12.5	13.5	13	1
13.5	14.5	14	1
14.5	15.5	15	1
15.5	16.5	16	1
16.5	17.5	17	1
17.5	18.5	18	1
18.5	19.5	19	1
19.5	20.5	20	1
20.5	21.5	21	1
21.5	22.5	22	1
22.5	23.5	23	1
23.5	24.5	24	1
24.5	25.5	25	1
25.5	26.5	26	1
26.5	27.5	27	1
27.5	28.5	28	1
28.5	29.5	29	1
29.5	30.5	30	1
30.5	31.5	31	1
31.5	32.5	32	1
32.5	33.5	33	1
33.5	34.5	34	1
34.5	35.5	35	1
35.5	36.5	36	1
36.5	37.5	37	1
37.5	38.5	38	1
38.5	39.5	39	1
39.5	40.5	40	1
40.5	41.5	41	1
41.5	42.5	42	1
42.5	43.5	43	1
43.5	44.5	44	1
44.5	45.5	45	1
45.5	46.5	46	1
46.5	47.5	47	1
47.5	48.5	48	1
48.5	49.5	49	1
49.5	50.5	50	1
0.5	1.5	1	2
1.5	2.5	2	2
2.5	3.5	3	2
3.5	4.5	4	2
4.5	5.5	5	2
5.5	6.5	6	2
6.5	7.5	7	2
7.5	8.5	8	2
8.5	9.5	9	2
9.5	10.5	10	2
10.5	11.5	11	2
11.5	12.5	12	2
12.5	13.5	13	2
13.5	14.5	14	2
14.5	15.5	15	2
15.5	16.5	16	2
16.5	17.5	17	2
17.5	18.5	18	2
18.5	19.5	19	2
19.5	20.5	20	2
20.5	21.5	21	2
21.5	22.5	22	2
22.5	23.5	23	2
23.5	24.5	24	2
24.5	25.5	25	2
25.5	26.5	26	2
26.5	27.5	27	2
27.5	28.5	28	2
28.5	29.5	29	2
29.5	30.5	30	2
30.5	31.5	31	2
31.5	32.5	32	2
32.5	33.5	33	2
33.5	34.5	34	2
34.5	35.5	35	2
35.5	36.5	36	2
36.5	37.5	37	2
37.5	38.5	38	2
38.5	39.5	39	2
39.5	40.5	40	2
40.5	41.5	41	2
41.5	42.5	42	2
42.5	43.5	43	2
43.5	44.5	44	2
44.5	45.5	45	2
45.5	46.5	46	2
46.5	47.5	47	2
47.5	48.5	48	2
48.5	49.5	49	2
49.5	50.5	50	2
0.5	1.5	1	3
1.5	2.5	2	3
2.5	3.5	3	3
3.5	4.5	4	3
4.5	5.5	5	3
5.5	6.5	6	3
6.5	7.5	7	3
7.5	8.5	8	3
8.5	9.5	9	3
9.5	10.5	10	3
10.5	11.5	11	3
11.5	12.5	12	3
12.5	13.5	13	3
13.5	14.5	14	3
14.5	15.5	15	3
15.5	16.5	16	3
16.5	17.5	17	3
17.5	18.5	18	3
18.5	19.5	19	3
19.5	20.5	20	3
20.5	21.5	21	3
21.5	22.5	22	3
22.5	23.5	23	3
23.5	24.5	24	3
24.5	25.5	25	3
25.5	26.5	26	3
26.5	27.5	27	3
27.5	28.5	28	3
28.5	29.5	29	3
29.5	30.5	30	3
30.5	31.5	31	3
31.5	32.5	32	3
32.5	33.5	33	3
33.5	34.5	34	3
34.5	35.5	35	3
35.5	36.5	36	3
36.5	37.5	37	3
37.5	38.5	38	3
38.5	39.5	39	3
39.5	40.5	40	3
40.5	41.5	41	3
41.5	42.5	42	3
42.5	43.5	43	3
43.5	44.5	44	3
44.5	45.5	45	3
45.5	46.5	46	3
46.5	47.5	47	3
47.5	48.5	48	3
48.5	49.5	49	3
49.5	50.5	50	3
0.5	1.5	1	4
1.5	2.5	2	4
2.5	3.5	3	4
3.5	4.5	4	4
4.5	5.5	5	4
5.5	6.5	6	4
6.5	7.5	7	4
7.5	8.5	8	4
8.5	9.5	9	4
9.5	10.5	10	4
10.5	11.5	11	4
11.5	12.5	12	4
12.5	13.5	13	4
13.5	14.5	14	4
14.5	15.5	15	4
15.5	16.5	16	4
16.5	17.5	17	4
17.5	18.5	18	4
18.5	19.5	19	4
19.5	20.5	20	4
20.5	21.5	21	4
21.5	22.5	22	4
22.5	23.5	23	4
23.5	24.5	24	4
24.5	25.5	25	4
25.5	26.5	26	4
26.5	27.5	27	4
27.5	28.5	28	4
28.5	29.5	29	4
29.5	30.5	30	4
30.5	31.5	31	4
31.5	32.5	32	4
32.5	33.5	33	4
33.5	34.5	34	4
34.5	35.5	35	4
35.5	36.5	36	4
36.5	37.5	37	4
37.5	38.5	38	4
38.5	39.5	39	4
39.5	40.5	40	4
40.5	41.5	41	4
41.5	42.5	42	4
42.5	43.5	43	4
43.5	44.5	44	4
44.5	45.5	45	4
45.5	46.5	46	4
46.5	47.5	47	4
47.5	48.5	48	4
48.5	49.5	49	4
49.5	50.5	50	4
