group	colour	x	y	showSelected1	PANEL
1	#7F7F7F	1	0	sous-entraînement	1
1	#7F7F7F	2	0.682091060633168	sous-entraînement	1
1	#7F7F7F	3	0.866959182808471	sous-entraînement	1
1	#7F7F7F	4	0.94672627297262	sous-entraînement	1
1	#7F7F7F	5	0.984680561739113	sous-entraînement	1
1	#7F7F7F	6	0.989541156777456	sous-entraînement	1
1	#7F7F7F	7	1.01740405864698	sous-entraînement	1
1	#7F7F7F	8	1.02744559359512	sous-entraînement	1
1	#7F7F7F	9	1.04096456070203	sous-entraînement	1
1	#7F7F7F	10	1.05449657532404	sous-entraînement	1
1	#7F7F7F	11	1.05681623010422	sous-entraînement	1
1	#7F7F7F	12	1.06117161861005	sous-entraînement	1
1	#7F7F7F	13	1.06794031356107	sous-entraînement	1
1	#7F7F7F	14	1.06223872224088	sous-entraînement	1
1	#7F7F7F	15	1.06140649418509	sous-entraînement	1
1	#7F7F7F	16	1.06566291850699	sous-entraînement	1
1	#7F7F7F	17	1.0702320107177	sous-entraînement	1
1	#7F7F7F	18	1.07512963966782	sous-entraînement	1
1	#7F7F7F	19	1.07758335815402	sous-entraînement	1
1	#7F7F7F	20	1.08586240857096	sous-entraînement	1
1	#7F7F7F	21	1.07919409500915	sous-entraînement	1
1	#7F7F7F	22	1.07941669693536	sous-entraînement	1
1	#7F7F7F	23	1.08325162155663	sous-entraînement	1
1	#7F7F7F	24	1.08224291419495	sous-entraînement	1
1	#7F7F7F	25	1.0755185118865	sous-entraînement	1
1	#7F7F7F	26	1.0750547216094	sous-entraînement	1
1	#7F7F7F	27	1.0748815220465	sous-entraînement	1
1	#7F7F7F	28	1.0797092773549	sous-entraînement	1
1	#7F7F7F	29	1.08188956171572	sous-entraînement	1
1	#7F7F7F	30	1.08087036119638	sous-entraînement	1
1	#7F7F7F	31	1.08079588522192	sous-entraînement	1
1	#7F7F7F	32	1.07902520698677	sous-entraînement	1
1	#7F7F7F	33	1.07971274091857	sous-entraînement	1
1	#7F7F7F	34	1.07942044985317	sous-entraînement	1
1	#7F7F7F	35	1.07901556877907	sous-entraînement	1
1	#7F7F7F	36	1.07853076422159	sous-entraînement	1
1	#7F7F7F	37	1.08080392573867	sous-entraînement	1
1	#7F7F7F	38	1.07836706500591	sous-entraînement	1
1	#7F7F7F	39	1.07684348669074	sous-entraînement	1
1	#7F7F7F	40	1.07511194685467	sous-entraînement	1
1	#7F7F7F	41	1.07639368234084	sous-entraînement	1
1	#7F7F7F	42	1.07519499697729	sous-entraînement	1
1	#7F7F7F	43	1.07936179136827	sous-entraînement	1
1	#7F7F7F	44	1.0839050195035	sous-entraînement	1
1	#7F7F7F	45	1.07934653320109	sous-entraînement	1
1	#7F7F7F	46	1.07762288862787	sous-entraînement	1
1	#7F7F7F	47	1.07548071813083	sous-entraînement	1
1	#7F7F7F	48	1.08159929053089	sous-entraînement	1
1	#7F7F7F	49	1.08478410303729	sous-entraînement	1
1	#7F7F7F	50	1.08331414272689	sous-entraînement	1
1	#7F7F7F	1	0	sous-entraînement	2
1	#7F7F7F	2	0.711734452080028	sous-entraînement	2
1	#7F7F7F	3	0.75797990504035	sous-entraînement	2
1	#7F7F7F	4	0.785209886932177	sous-entraînement	2
1	#7F7F7F	5	0.817168636212992	sous-entraînement	2
1	#7F7F7F	6	0.864188293585955	sous-entraînement	2
1	#7F7F7F	7	0.908877728673716	sous-entraînement	2
1	#7F7F7F	8	0.917664807165096	sous-entraînement	2
1	#7F7F7F	9	0.932523594501151	sous-entraînement	2
1	#7F7F7F	10	0.96584141564419	sous-entraînement	2
1	#7F7F7F	11	0.974301466111135	sous-entraînement	2
1	#7F7F7F	12	0.998455908964783	sous-entraînement	2
1	#7F7F7F	13	1.02529796752468	sous-entraînement	2
1	#7F7F7F	14	1.05020752295081	sous-entraînement	2
1	#7F7F7F	15	1.08203119253707	sous-entraînement	2
