x	y	key	label	showSelected1	PANEL
50	0.3	voisins	30 plus proches voisins	30	4
50	0.3	voisins	31 plus proches voisins	31	4
50	0.3	voisins	32 plus proches voisins	32	4
50	0.3	voisins	33 plus proches voisins	33	4
50	0.3	voisins	34 plus proches voisins	34	4
50	0.3	voisins	35 plus proches voisins	35	4
50	0.3	voisins	36 plus proches voisins	36	4
50	0.3	voisins	37 plus proches voisins	37	4
50	0.3	voisins	38 plus proches voisins	38	4
50	0.3	voisins	39 plus proches voisins	39	4
50	0.3	voisins	40 plus proches voisins	40	4
50	0.3	voisins	41 plus proches voisins	41	4
50	0.3	voisins	42 plus proches voisins	42	4
50	0.3	voisins	43 plus proches voisins	43	4
50	0.3	voisins	44 plus proches voisins	44	4
50	0.3	voisins	45 plus proches voisins	45	4
50	0.3	voisins	46 plus proches voisins	46	4
50	0.3	voisins	47 plus proches voisins	47	4
50	0.3	voisins	48 plus proches voisins	48	4
50	0.3	voisins	49 plus proches voisins	49	4
50	0.3	voisins	50 plus proches voisins	50	4
