x	y	key	label	showSelected1	PANEL
50	0.3	voisins	1 plus proche voisin	1	1
50	0.3	voisins	2 plus proches voisins	2	1
50	0.3	voisins	3 plus proches voisins	3	1
50	0.3	voisins	4 plus proches voisins	4	1
50	0.3	voisins	5 plus proches voisins	5	1
50	0.3	voisins	6 plus proches voisins	6	1
50	0.3	voisins	7 plus proches voisins	7	1
50	0.3	voisins	8 plus proches voisins	8	1
50	0.3	voisins	9 plus proches voisins	9	1
50	0.3	voisins	10 plus proches voisins	10	1
50	0.3	voisins	11 plus proches voisins	11	1
50	0.3	voisins	12 plus proches voisins	12	1
50	0.3	voisins	13 plus proches voisins	13	1
50	0.3	voisins	14 plus proches voisins	14	1
50	0.3	voisins	15 plus proches voisins	15	1
50	0.3	voisins	16 plus proches voisins	16	1
50	0.3	voisins	17 plus proches voisins	17	1
50	0.3	voisins	18 plus proches voisins	18	1
50	0.3	voisins	19 plus proches voisins	19	1
50	0.3	voisins	20 plus proches voisins	20	1
50	0.3	voisins	21 plus proches voisins	21	1
50	0.3	voisins	22 plus proches voisins	22	1
50	0.3	voisins	23 plus proches voisins	23	1
50	0.3	voisins	24 plus proches voisins	24	1
50	0.3	voisins	25 plus proches voisins	25	1
50	0.3	voisins	26 plus proches voisins	26	1
50	0.3	voisins	27 plus proches voisins	27	1
50	0.3	voisins	28 plus proches voisins	28	1
50	0.3	voisins	29 plus proches voisins	29	1
50	0.3	voisins	30 plus proches voisins	30	1
50	0.3	voisins	31 plus proches voisins	31	1
50	0.3	voisins	32 plus proches voisins	32	1
50	0.3	voisins	33 plus proches voisins	33	1
50	0.3	voisins	34 plus proches voisins	34	1
50	0.3	voisins	35 plus proches voisins	35	1
50	0.3	voisins	36 plus proches voisins	36	1
50	0.3	voisins	37 plus proches voisins	37	1
50	0.3	voisins	38 plus proches voisins	38	1
50	0.3	voisins	39 plus proches voisins	39	1
50	0.3	voisins	40 plus proches voisins	40	1
50	0.3	voisins	41 plus proches voisins	41	1
50	0.3	voisins	42 plus proches voisins	42	1
50	0.3	voisins	43 plus proches voisins	43	1
50	0.3	voisins	44 plus proches voisins	44	1
50	0.3	voisins	45 plus proches voisins	45	1
50	0.3	voisins	46 plus proches voisins	46	1
50	0.3	voisins	47 plus proches voisins	47	1
50	0.3	voisins	48 plus proches voisins	48	1
50	0.3	voisins	49 plus proches voisins	49	1
50	0.3	voisins	50 plus proches voisins	50	1
50	0.3	voisins	1 plus proche voisin	1	2
50	0.3	voisins	2 plus proches voisins	2	2
50	0.3	voisins	3 plus proches voisins	3	2
50	0.3	voisins	4 plus proches voisins	4	2
50	0.3	voisins	5 plus proches voisins	5	2
50	0.3	voisins	6 plus proches voisins	6	2
50	0.3	voisins	7 plus proches voisins	7	2
50	0.3	voisins	8 plus proches voisins	8	2
50	0.3	voisins	9 plus proches voisins	9	2
50	0.3	voisins	10 plus proches voisins	10	2
50	0.3	voisins	11 plus proches voisins	11	2
50	0.3	voisins	12 plus proches voisins	12	2
50	0.3	voisins	13 plus proches voisins	13	2
50	0.3	voisins	14 plus proches voisins	14	2
50	0.3	voisins	15 plus proches voisins	15	2
50	0.3	voisins	16 plus proches voisins	16	2
50	0.3	voisins	17 plus proches voisins	17	2
50	0.3	voisins	18 plus proches voisins	18	2
50	0.3	voisins	19 plus proches voisins	19	2
50	0.3	voisins	20 plus proches voisins	20	2
50	0.3	voisins	21 plus proches voisins	21	2
50	0.3	voisins	22 plus proches voisins	22	2
50	0.3	voisins	23 plus proches voisins	23	2
50	0.3	voisins	24 plus proches voisins	24	2
50	0.3	voisins	25 plus proches voisins	25	2
50	0.3	voisins	26 plus proches voisins	26	2
50	0.3	voisins	27 plus proches voisins	27	2
50	0.3	voisins	28 plus proches voisins	28	2
50	0.3	voisins	29 plus proches voisins	29	2
50	0.3	voisins	30 plus proches voisins	30	2
50	0.3	voisins	31 plus proches voisins	31	2
50	0.3	voisins	32 plus proches voisins	32	2
50	0.3	voisins	33 plus proches voisins	33	2
50	0.3	voisins	34 plus proches voisins	34	2
50	0.3	voisins	35 plus proches voisins	35	2
50	0.3	voisins	36 plus proches voisins	36	2
50	0.3	voisins	37 plus proches voisins	37	2
50	0.3	voisins	38 plus proches voisins	38	2
50	0.3	voisins	39 plus proches voisins	39	2
50	0.3	voisins	40 plus proches voisins	40	2
50	0.3	voisins	41 plus proches voisins	41	2
50	0.3	voisins	42 plus proches voisins	42	2
50	0.3	voisins	43 plus proches voisins	43	2
50	0.3	voisins	44 plus proches voisins	44	2
50	0.3	voisins	45 plus proches voisins	45	2
50	0.3	voisins	46 plus proches voisins	46	2
50	0.3	voisins	47 plus proches voisins	47	2
50	0.3	voisins	48 plus proches voisins	48	2
50	0.3	voisins	49 plus proches voisins	49	2
50	0.3	voisins	50 plus proches voisins	50	2
50	0.3	voisins	1 plus proche voisin	1	3
50	0.3	voisins	2 plus proches voisins	2	3
50	0.3	voisins	3 plus proches voisins	3	3
50	0.3	voisins	4 plus proches voisins	4	3
50	0.3	voisins	5 plus proches voisins	5	3
50	0.3	voisins	6 plus proches voisins	6	3
50	0.3	voisins	7 plus proches voisins	7	3
50	0.3	voisins	8 plus proches voisins	8	3
50	0.3	voisins	9 plus proches voisins	9	3
50	0.3	voisins	10 plus proches voisins	10	3
50	0.3	voisins	11 plus proches voisins	11	3
50	0.3	voisins	12 plus proches voisins	12	3
50	0.3	voisins	13 plus proches voisins	13	3
50	0.3	voisins	14 plus proches voisins	14	3
50	0.3	voisins	15 plus proches voisins	15	3
50	0.3	voisins	16 plus proches voisins	16	3
50	0.3	voisins	17 plus proches voisins	17	3
50	0.3	voisins	18 plus proches voisins	18	3
50	0.3	voisins	19 plus proches voisins	19	3
50	0.3	voisins	20 plus proches voisins	20	3
50	0.3	voisins	21 plus proches voisins	21	3
50	0.3	voisins	22 plus proches voisins	22	3
50	0.3	voisins	23 plus proches voisins	23	3
50	0.3	voisins	24 plus proches voisins	24	3
50	0.3	voisins	25 plus proches voisins	25	3
50	0.3	voisins	26 plus proches voisins	26	3
50	0.3	voisins	27 plus proches voisins	27	3
50	0.3	voisins	28 plus proches voisins	28	3
50	0.3	voisins	29 plus proches voisins	29	3
50	0.3	voisins	30 plus proches voisins	30	3
50	0.3	voisins	31 plus proches voisins	31	3
50	0.3	voisins	32 plus proches voisins	32	3
50	0.3	voisins	33 plus proches voisins	33	3
50	0.3	voisins	34 plus proches voisins	34	3
50	0.3	voisins	35 plus proches voisins	35	3
50	0.3	voisins	36 plus proches voisins	36	3
50	0.3	voisins	37 plus proches voisins	37	3
50	0.3	voisins	38 plus proches voisins	38	3
50	0.3	voisins	39 plus proches voisins	39	3
50	0.3	voisins	40 plus proches voisins	40	3
50	0.3	voisins	41 plus proches voisins	41	3
50	0.3	voisins	42 plus proches voisins	42	3
50	0.3	voisins	43 plus proches voisins	43	3
50	0.3	voisins	44 plus proches voisins	44	3
50	0.3	voisins	45 plus proches voisins	45	3
50	0.3	voisins	46 plus proches voisins	46	3
50	0.3	voisins	47 plus proches voisins	47	3
50	0.3	voisins	48 plus proches voisins	48	3
50	0.3	voisins	49 plus proches voisins	49	3
50	0.3	voisins	50 plus proches voisins	50	3
50	0.3	voisins	1 plus proche voisin	1	4
50	0.3	voisins	2 plus proches voisins	2	4
50	0.3	voisins	3 plus proches voisins	3	4
50	0.3	voisins	4 plus proches voisins	4	4
50	0.3	voisins	5 plus proches voisins	5	4
50	0.3	voisins	6 plus proches voisins	6	4
50	0.3	voisins	7 plus proches voisins	7	4
50	0.3	voisins	8 plus proches voisins	8	4
50	0.3	voisins	9 plus proches voisins	9	4
50	0.3	voisins	10 plus proches voisins	10	4
50	0.3	voisins	11 plus proches voisins	11	4
50	0.3	voisins	12 plus proches voisins	12	4
50	0.3	voisins	13 plus proches voisins	13	4
50	0.3	voisins	14 plus proches voisins	14	4
50	0.3	voisins	15 plus proches voisins	15	4
50	0.3	voisins	16 plus proches voisins	16	4
50	0.3	voisins	17 plus proches voisins	17	4
50	0.3	voisins	18 plus proches voisins	18	4
50	0.3	voisins	19 plus proches voisins	19	4
50	0.3	voisins	20 plus proches voisins	20	4
50	0.3	voisins	21 plus proches voisins	21	4
50	0.3	voisins	22 plus proches voisins	22	4
50	0.3	voisins	23 plus proches voisins	23	4
50	0.3	voisins	24 plus proches voisins	24	4
50	0.3	voisins	25 plus proches voisins	25	4
50	0.3	voisins	26 plus proches voisins	26	4
50	0.3	voisins	27 plus proches voisins	27	4
50	0.3	voisins	28 plus proches voisins	28	4
50	0.3	voisins	29 plus proches voisins	29	4
