colour	x	y	key	label	showSelected1	showSelected2	PANEL
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0784	38	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1501	38	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0768	39	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1509	39	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0751	40	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1446	40	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0764	41	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1438	41	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0752	42	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1487	42	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0794	43	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1474	43	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0839	44	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1479	44	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0793	45	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1492	45	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0776	46	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1517	46	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0755	47	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1481	47	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0816	48	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1456	48	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0848	49	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1437	49	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0833	50	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1420	50	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.0000	1	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.4190	1	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.7117	2	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.3320	2	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.7580	3	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2574	3	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.7852	4	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2500	4	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8172	5	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2724	5	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8642	6	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2388	6	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9089	7	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2656	7	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9177	8	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2395	8	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9325	9	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2215	9	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9658	10	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2122	10	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9743	11	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2050	11	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9985	12	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1964	12	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0253	13	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1776	13	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0502	14	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1847	14	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0820	15	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1833	15	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0916	16	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1787	16	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1036	17	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1748	17	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1233	18	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1893	18	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1343	19	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1818	19	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1393	20	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1908	20	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1453	21	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.1985	21	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1593	22	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2118	22	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1681	23	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2334	23	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1994	24	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2632	24	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2153	25	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.2709	25	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2340	26	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.3023	26	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2419	27	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.3160	27	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2598	28	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.3386	28	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2698	29	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.3492	29	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2814	30	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.3543	30	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2896	31	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.3699	31	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.3200	32	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.3983	32	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.3312	33	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.4052	33	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.3492	34	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.4279	34	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.3748	35	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.4545	35	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4123	36	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.4998	36	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4496	37	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.5409	37	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4918	38	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.5874	38	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.5357	39	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.6354	39	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.5730	40	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.6811	40	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.6146	41	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.7290	41	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.6577	42	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.7748	42	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.6735	43	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.7837	43	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.6948	44	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.8076	44	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.7047	45	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.8211	45	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.7432	46	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.8594	46	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.7818	47	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.9031	47	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.7993	48	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.9265	48	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.8308	49	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.9682	49	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.8483	50	sous-entraînement	2
#000000	50	0	validation	Erreur sur validation : 1.9890	50	validation	2
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.0000	1	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.3266	1	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.6684	2	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.2006	2	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8142	3	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1928	3	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8709	4	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1623	4	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8517	5	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1075	5	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8122	6	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1173	6	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8625	7	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1059	7	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8756	8	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1158	8	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8776	9	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0951	9	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8882	10	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0823	10	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8874	11	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0659	11	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8952	12	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0888	12	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9210	13	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0978	13	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9346	14	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1029	14	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9358	15	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0906	15	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9513	16	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0883	16	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9836	17	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0929	17	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9907	18	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0783	18	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0140	19	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0821	19	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0247	20	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0791	20	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0388	21	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0726	21	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0402	22	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0636	22	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0416	23	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0417	23	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0673	24	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0438	24	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0939	25	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0372	25	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1061	26	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0435	26	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1344	27	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0671	27	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1606	28	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.0800	28	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.1788	29	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1044	29	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2125	30	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1135	30	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2639	31	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1560	31	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.2935	32	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1793	32	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.3092	33	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.1811	33	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.3581	34	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.2271	34	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4010	35	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.2469	35	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4307	36	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.2758	36	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4653	37	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.3044	37	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.4992	38	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.3301	38	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.5502	39	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.3583	39	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.6018	40	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.3880	40	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.6294	41	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.4101	41	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.6673	42	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.4371	42	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.7213	43	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.4874	43	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.7650	44	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.5301	44	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.8178	45	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.5771	45	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.8644	46	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.6144	46	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.9083	47	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.6521	47	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.9722	48	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.7149	48	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.0199	49	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.7569	49	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 2.0466	50	sous-entraînement	3
#000000	50	0	validation	Erreur sur validation : 1.7793	50	validation	3
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.0000	1	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.3888	1	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8179	2	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.1466	2	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8865	3	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0995	3	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9011	4	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0194	4	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9263	5	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0385	5	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9556	6	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0630	6	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9804	7	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0634	7	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9933	8	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0559	8	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0067	9	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0327	9	validation	4
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0420	10	sous-entraînement	4
#000000	50	0	validation	Erreur sur validation : 1.0546	10	validation	4
