colour	x	y	key	label	showSelected1	showSelected2	PANEL
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.0000	1	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.5762	1	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.6821	2	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.2818	2	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.8670	3	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.2328	3	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9467	4	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1837	4	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9847	5	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1983	5	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 0.9895	6	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1604	6	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0174	7	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1761	7	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0274	8	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1633	8	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0410	9	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1621	9	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0545	10	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1770	10	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0568	11	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1925	11	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0612	12	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1752	12	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0679	13	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1817	13	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0622	14	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1982	14	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0614	15	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1911	15	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0657	16	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1877	16	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0702	17	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1991	17	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0751	18	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1778	18	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0776	19	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1689	19	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0859	20	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1633	20	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0792	21	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1704	21	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0794	22	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1733	22	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0833	23	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1711	23	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0822	24	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1726	24	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0755	25	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1758	25	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0751	26	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1641	26	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0749	27	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1607	27	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0797	28	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1607	28	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0819	29	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1595	29	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0809	30	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1499	30	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0808	31	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1537	31	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0790	32	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1497	32	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0797	33	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1484	33	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0794	34	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1497	34	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0790	35	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1507	35	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0785	36	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1516	36	validation	1
#7F7F7F	50	0.15	sous-entraînement	Erreur sur sous-entraînement : 1.0808	37	sous-entraînement	1
#000000	50	0	validation	Erreur sur validation : 1.1514	37	validation	1
